full_name,workflow_id,run_id,run_attempt,declared_styles,job_name,step_number,step_name,status,conclusion,step_started_at,step_completed_at,seconds_from_run_start,global_step_index,anchor_match,explicit_instru,buildish,real_deviceish,thirdparty_marker,gmd_marker,androidish,custom_followed_file_support,called_origin_match
connectbot/connectbot,6226310,23385720308,1,Community,Build and test,14,Post Set up JDK,completed,success,2026-03-21T18:39:08+00:00,2026-03-21T18:39:08+00:00,1338,14,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Build and test,15,Post Checkout (with history),completed,success,2026-03-21T18:39:08+00:00,2026-03-21T18:39:08+00:00,1338,15,False,False,True,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Build and test,16,Complete job,completed,success,2026-03-21T18:39:08+00:00,2026-03-21T18:39:08+00:00,1338,16,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Upload to GitHub releases,1,Set up job,completed,success,2026-03-21T18:39:24+00:00,2026-03-21T18:39:26+00:00,1354,17,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Upload to GitHub releases,2,Download artifacts from previous job,completed,success,2026-03-21T18:39:26+00:00,2026-03-21T18:39:30+00:00,1356,18,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Upload to GitHub releases,3,Set release name,completed,success,2026-03-21T18:39:30+00:00,2026-03-21T18:39:30+00:00,1360,19,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Upload to GitHub releases,4,Upload release,completed,success,2026-03-21T18:39:30+00:00,2026-03-21T18:39:39+00:00,1360,20,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Upload to GitHub releases,5,Complete job,completed,success,2026-03-21T18:39:39+00:00,2026-03-21T18:39:39+00:00,1369,21,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Trigger remote signing,1,Set up job,completed,success,2026-03-21T18:39:43+00:00,2026-03-21T18:39:45+00:00,1373,22,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Trigger remote signing,2,Pull ghcr.io/distributhor/workflow-webhook-container:v3.0.8,completed,success,2026-03-21T18:39:45+00:00,2026-03-21T18:39:49+00:00,1375,23,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Trigger remote signing,3,Download artifacts from previous job,completed,success,2026-03-21T18:39:49+00:00,2026-03-21T18:39:50+00:00,1379,24,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Trigger remote signing,4,Set release name,completed,success,2026-03-21T18:39:50+00:00,2026-03-21T18:39:50+00:00,1380,25,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Trigger remote signing,5,Call remote signer,completed,success,2026-03-21T18:39:50+00:00,2026-03-21T18:39:52+00:00,1380,26,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Trigger remote signing,6,Complete job,completed,success,2026-03-21T18:39:52+00:00,2026-03-21T18:39:52+00:00,1382,27,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Build and test,1,Set up job,completed,success,2026-03-20T22:10:30+00:00,2026-03-20T22:10:36+00:00,4,1,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Build and test,2,Checkout (with history),completed,success,2026-03-20T22:10:36+00:00,2026-03-20T22:10:38+00:00,10,2,False,False,True,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Build and test,3,Validate Gradle Wrapper,completed,success,2026-03-20T22:10:38+00:00,2026-03-20T22:10:38+00:00,12,3,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Build and test,4,Set up JDK,completed,success,2026-03-20T22:10:38+00:00,2026-03-20T22:10:44+00:00,12,4,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Build and test,5,Setup Gradle,completed,success,2026-03-20T22:10:44+00:00,2026-03-20T22:11:06+00:00,18,5,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Build and test,6,Delete old Android SDK cmdline-tools,completed,success,2026-03-20T22:11:06+00:00,2026-03-20T22:11:07+00:00,40,6,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Build and test,7,Setup Android SDK,completed,success,2026-03-20T22:11:07+00:00,2026-03-20T22:11:28+00:00,41,7,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Build and test,8,Build ConnectBot,completed,success,2026-03-20T22:11:28+00:00,2026-03-20T22:25:20+00:00,62,8,False,False,True,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Build and test,9,Enable KVM for emulator and clear up space,completed,success,2026-03-20T22:25:20+00:00,2026-03-20T22:26:06+00:00,894,9,True,False,False,False,False,False,True,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Build and test,10,Run instrument tests,completed,success,2026-03-20T22:26:06+00:00,2026-03-20T22:33:56+00:00,940,10,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23364621137,1,Community,Build and test,11,Prepare release,completed,success,2026-03-20T22:33:56+00:00,2026-03-20T22:33:56+00:00,1410,11,False,False,False,False,False,False,False,False,False
